Make,Combined MPG
ASC Incorporated,16.0
Acura,20.833333333333332
Alfa Romeo,19.2
American Motors Corporation,16.5
Aston Martin,9.0
Audi,18.6
Autokraft Limited,17.0
BMW,17.076923076923077
Bertone,22.0
Bitter Gmbh and Co. Kg,15.5
Buick,21.275862068965516
CCC Engineering,15.0
CX Automotive,17.0
Cadillac,19.5
Chevrolet,18.441176470588236
Chrysler,20.458333333333332
Dodge,16.905109489051096
Excalibur Autos,14.0
Ferrari,12.333333333333334
Ford,18.037735849056602
GMC,16.10091743119266
Honda,28.0
Hyundai,25.666666666666668
Isuzu,23.318181818181817
Jaguar,14.333333333333334
Jeep,17.53125
Lamborghini,7.0
Land Rover,13.0
Lincoln,19.0
Lotus,19.0
Maserati,13.5
Mazda,20.85
Mcevoy Motors,20.0
Mercedes-Benz,19.823529411764707
Mercury,23.68421052631579
Merkur,18.5
Mitsubishi,21.862068965517242
Nissan,19.782608695652176
Oldsmobile,21.321428571428573
Peugeot,19.272727272727273
Plymouth,21.536585365853657
Pontiac,22.54
Porsche,18.636363636363637
Red Shift Ltd.,23.0
Renault,26.7
Rolls-Royce,8.454545454545455
Ruf Automobile Gmbh,13.0
Saab,19.5
Sterling,17.5
Subaru,22.55263157894737
Suzuki,31.4
Toyota,21.936507936507937
Volkswagen,21.692307692307693
Volvo,19.5
Yugo,26.0
